1742293494302|0|statement|connection 0|url jdbc:mysql://localhost:3306/review_system?serverTimezone=GMT%2B8&useSSL=false&characterEncoding=UTF-8&allowPublicKeyRetrieval=true|SELECT variable_name FROM performance_schema.user_variables_by_thread WHERE variable_value IS NOT NULL|SELECT variable_name FROM performance_schema.user_variables_by_thread WHERE variable_value IS NOT NULL
1742293494302|0|statement|connection 0|url jdbc:mysql://localhost:3306/review_system?serverTimezone=GMT%2B8&useSSL=false&characterEncoding=UTF-8&allowPublicKeyRetrieval=true|SET foreign_key_checks=?, sql_safe_updates=?|SET foreign_key_checks=1, sql_safe_updates=0
1742293494305|0|statement|connection 0|url jdbc:mysql://localhost:3306/review_system?serverTimezone=GMT%2B8&useSSL=false&characterEncoding=UTF-8&allowPublicKeyRetrieval=true|SELECT `installed_rank`,`version`,`description`,`type`,`script`,`checksum`,`installed_on`,`installed_by`,`execution_time`,`success` FROM `review_system`.`flyway_schema_history` WHERE `installed_rank` > ? ORDER BY `installed_rank`|SELECT `installed_rank`,`version`,`description`,`type`,`script`,`checksum`,`installed_on`,`installed_by`,`execution_time`,`success` FROM `review_system`.`flyway_schema_history` WHERE `installed_rank` > 2 ORDER BY `installed_rank`
1742293494307|0|statement|connection 0|url jdbc:mysql://localhost:3306/review_system?serverTimezone=GMT%2B8&useSSL=false&characterEncoding=UTF-8&allowPublicKeyRetrieval=true|SELECT RELEASE_LOCK('Flyway-2057055107')|SELECT RELEASE_LOCK('Flyway-2057055107')
1742293494307|0|statement|connection 0|url jdbc:mysql://localhost:3306/review_system?serverTimezone=GMT%2B8&useSSL=false&characterEncoding=UTF-8&allowPublicKeyRetrieval=true|SELECT variable_name FROM performance_schema.user_variables_by_thread WHERE variable_value IS NOT NULL|SELECT variable_name FROM performance_schema.user_variables_by_thread WHERE variable_value IS NOT NULL
1742293494308|0|statement|connection 0|url jdbc:mysql://localhost:3306/review_system?serverTimezone=GMT%2B8&useSSL=false&characterEncoding=UTF-8&allowPublicKeyRetrieval=true|SET foreign_key_checks=?, sql_safe_updates=?|SET foreign_key_checks=1, sql_safe_updates=0
1742293494309|0|commit|connection 0|url jdbc:mysql://localhost:3306/review_system?serverTimezone=GMT%2B8&useSSL=false&characterEncoding=UTF-8&allowPublicKeyRetrieval=true||
1742293525089|18|statement|connection 1|url jdbc:mysql://localhost:3306/review_system?serverTimezone=GMT%2B8&useSSL=false&characterEncoding=UTF-8&allowPublicKeyRetrieval=true|SELECT  id,shop_name,shop_logo,description,category,address,phone,email,website_url,social_media_links,status,created_at,updated_at  FROM shops     WHERE (id = ?)|SELECT  id,shop_name,shop_logo,description,category,address,phone,email,website_url,social_media_links,status,created_at,updated_at  FROM shops     WHERE (id = 0)
1742293796776|14|statement|connection 0|url jdbc:mysql://localhost:3306/review_system?serverTimezone=GMT%2B8&useSSL=false&characterEncoding=UTF-8&allowPublicKeyRetrieval=true|SELECT version()|SELECT version()
1742293796790|4|statement|connection 0|url jdbc:mysql://localhost:3306/review_system?serverTimezone=GMT%2B8&useSSL=false&characterEncoding=UTF-8&allowPublicKeyRetrieval=true|select VARIABLE_VALUE from performance_schema.global_variables where variable_name = 'pxc_strict_mode'|select VARIABLE_VALUE from performance_schema.global_variables where variable_name = 'pxc_strict_mode'
1742293796793|0|statement|connection 0|url jdbc:mysql://localhost:3306/review_system?serverTimezone=GMT%2B8&useSSL=false&characterEncoding=UTF-8&allowPublicKeyRetrieval=true|SELECT @@GLOBAL.ENFORCE_GTID_CONSISTENCY|SELECT @@GLOBAL.ENFORCE_GTID_CONSISTENCY
1742293796796|0|statement|connection 0|url jdbc:mysql://localhost:3306/review_system?serverTimezone=GMT%2B8&useSSL=false&characterEncoding=UTF-8&allowPublicKeyRetrieval=true|SELECT DATABASE()|SELECT DATABASE()
